0.00 : 71.46853146853147/70.61383061383061 61.771561771561764/62.08236208236209 74.39005439005439/74.1880341880342 74.43667443667444/74.42113442113441 68.73348873348874/68.06526806526807 54.9028749028749/56.19269619269619 74.40559440559441/74.63869463869463 61.39860139860139/60.43512043512044 74.14141414141415/74.63869463869463 73.50427350427351/75.32245532245531 
0.55 : 50.644910644910645/49.634809634809635 56.39471639471639/53.783993783993786 54.141414141414145/51.82595182595182 54.12587412587413/53.17793317793318 52.54079254079254/49.417249417249415 55.8974358974359/54.001554001554 52.52525252525253/51.35975135975136 52.6029526029526/50.831390831390834 56.61227661227662/52.61849261849262 56.05283605283605/53.79953379953379 
